line,type,context,talking,talking_to,words,episode
0,sound,cheers and applause,,,,1
1,testimony,laughs,cassie,aside,"Hi, I'm Cassie, and welcome to Huntington Beach, California. I love the beach. I just like being out on the water. But I also enjoy working with people as well. I am a speech pathologist and a grad student. When I am working with a child and I see that I have helped them to communicate, it is probably one of the best feelings in the world. As a speech pathologist I'm supposed to be a good communicator and I really hope that that translates to when I go to meet Colton. I am so excited that Colton is the bachelor. Oh, my gosh. I am so nervous to meet him actually. My greatest hope is that when I meet Colton, we really click, and hit it off, and I leave with him.",1
2,testimony,,hannahb,aside,"Hi, I'm Hannah. Welcome to Alabama! I grew up in Titletown, home of the champions. I love Tuscaloosa, proud to be an Alabama fan. Roll tide! I'm miss Alabama, which makes me a queen here. Getting to serve my great state, that was truly a dream come true. It's fun. I have my own autograph pads. I always like to leave an encouraging message. Yeah, but I'm a total train wreck. I just am hoping that Colton will like the good, bad, and hot mess. The hot mess express and I'm the conductor.",1
3,exclamation,,hannahb,self,"C‐o‐l‐t‐o‐n, Colton, Colton, you're a ten!",1
4,testimony,,hannahb,aside,"So I've only kissed four guys that were my boyfriends. I am not a virgin, but sex a big deal so Colton is the bachelor and that he is a virgin is super appealing to me. I honestly couldn't believe people were like, ""what?"" I was like, oh, my God, it's so awesome. Like, it is so amazing. But then I am like, ""how?"". Colton, I hope you are ready for Alabama Hannah because Alabama Hannah is ready for you.",1
5,sound,laughs,,,,1
6,testimony,,katie,aside,"Hi, my name is katie, 26 years old and I am from the east coast. I came to L.A. because I wanted to dance. I love dancing. And as much as I love creative freedom and the arts, I'm a person who wants stability and security. The kind of love I hope to have one day is like my parents. They have been married for 30 years. They are inseparable. I love that. I want that. I am really excited to meet Colton because he has blonde hair, green eyes, athletic, super kind, kind of weird. I seem to have a very specific type. If he ends up liking the person I am and I end up loving the person he is, then 100%, I could be engaged at the end of this.",1
7,testimony,laughs,heather,aside,"Hi I'm Heather, I'm 22, and I was born and raised in California. If I'm not working, I am at the beach. I'm a beach girl through and through. I paddleboard, I am always in the water, always at the beach. But here's the thing, I hae never had sex before and I've never kissed anyone. ""Hey, I'm heather, I've never kissed anyone,"" that is really not my opening typically. I met Colton at his charity event in San Diego for 15 seconds. Took quick pictures, and is like, okay, I like that guy. Colton seems to have all the qualities that I'm looking for in a future husband. I could definitely see myself having my first kiss with Colton.",1
8,testimony,"laughs, laughs",onyeka,aside,"Hi, my name is Onyeka E. I am 24 years old and I live in Dallas, Texas. I grew up in a strong, traditional Nigerian family. My full name could not fit in the thing that they put down here. I am not afraid to embarras myself. Anyone who knows me knows I will do the weirdest thingn public. I'm loud and obnoxious at times. I do not care what people think about me. I think I'm a lot to handle. but I also have a really bg heart that comes with that. My parents are from Nigeria. They dated for two weeks and then they were engaged. I'm a firm believer in when you know, you know. Colton, he has all the morals, and all the characters I look for in a guy. And he's hot. If I was the person that Colton can gave his virginity to, I would definitely bring out all the tricks.",1
9,testimony,,nicole,aside,"Hola, me llamo Nicole y bienvenido a Miami. Being single when you are relatively attractive, it's hard because there are so many singles in Miami. So when I go out, you're not going to meet eligible bachelors. They're part of that hookup culture. I'm not about that. I'm looking for the real deal. My life in Miami is totally focused and centered on my family. My brother, A. J., suffers from autism. He is part of the package deal. He is going to be with me always. My mom and my grandma, my brother, are, like, my world. I'm so excited to meet Colton. I could just tell he would be so welcoming to, like, to my family and to my life.",1
10,testimony,"laughs, laughs",kirpa,aside,"Hi, my name is Kirpa. I'm a dental hygienist from Whittier, California. I really hope that Colton flosses, because being a dental hygienist, that is one of the first things I tend to gravitate to. It would be a good experienve to clean Colton's teeth. With Colton, that's as close as you can get right now, so I'll take it. I am blessed to have a fantastic family, a loving family from different backgrounds that loves each other. And puts up with one another. The only thing that has been missing is someone to share that with. The end of this, if it coud lead to an engagement, that would be amazing. Fingers crossed.",1
11,testimony,"laughs, laughs",demi,aside,"Hi, I'm Demi Burnett, 23 years old, and I'm hot doggin' for Colton. Vroom vroom! My friends and family would describe me as super bubbly and outgoing, a little sassy, country girl. I don't mind getting my has dirty and having fun. I've never had a serious relationship. I live with my dad and my stepmom. My dad always had the proper environment for us and so we've always been with him. My mom, she had to go to federal prison. She's there because of embezzlement. My mom is actually gonna get out very soon and the next time that I would potentiay see her would be with Colton. I'm really excited for Colton. I know that he's a virgin, it is kind of concerning. If you only ever have a vanilla cupcake, well, how do you know you don't like chocolate? How do you know you don't like strawberry? I feel like you got to try all the cupcakes first to know what you want. I am the damn confetti cake.",1
12,testimony,,colton,aside,"I'm Colton Underwood. I'm 26 and I never expected to be the next bachelor. I know not everybody's going to like me. I know I have a lot of room grow, but I also have an idea of what I want now. And that is what is so exciting about all this. I am the first virgin bachelor and it's crazy to even think about that. This is an opportunity of a lifetime, and I couldn't be more hopeful and excited. But then I also feel real nervous. Grade school Colton probaby would be really shy and timid, the fact that he was just named the bachelor. I grew up in a pretty conservative environment. I was at a Christian school I was always, like, the fat, chunky, awkward, weird kid. I didn't have girlfriends. I wanted to fit in so bad, but I felt very alone. A lot of days, I didn't want to go to school. My confidence in myself didn't come until my later years in high school. The one thing I knew how to do really well was football. When things were good, it was because of football. And that is why I got lost in it. I made it to the NFL. And for me, it was so special. I've had such a great life. I've had so many cool opportunities but the one thing I've been missing is somebody to share those with. I do know what love is. I mean, I've been in love before. And I remember how good I felt in those relationships. Falling in love with Becca was very eye‐opening. The comfort level was there chemistry was there. I was so open, I was so vulnerable. I was ready to really the next step. I was ready to lose my virginity to Becca. I was devastated when that relationship ended. And as tough and as challenging as that was, everything that has happened over the last year has been so transformative and so good for me. It's just the perfect time for me to focus on finding the person who I'm going to be spending the rest of my life with. I'm here to fall in love, and I'm here because I know how real it was when I was on the other side.",1
13,dialogue,,chris,colton,What's it like being announced the bachelor?,1
14,dialogue,,colton,chris,"For me, it was a little bit unexpected but it was something I was so grateful for, just the opportunity that I now knom going to have in front of me.",1
15,dialogue,,chris,colton,You weren't expecting it? You were a controversial choice.,1
16,dialogue,,colton,chris,"Yeah, I would be lying if I said I didn't look at any of the negative reactions.",1
17,dialogue,,chris,colton,Of course.,1
18,dialogue,,colton,chris,"Some of the comments, I could see where they come I get it. They think I'm not ready. And it's a fine balance because I'm not here to do it for the fans or do it to win people over. I'm doing this for me.",1
19,dialogue,,chris,colton,"How much of the negativity and ""he's not ready"" do you think has to do with your virginity?",1
20,dialogue,,colton,chris,"That ‐‐ that's sort of thee stigma around being a virgin. Oh, he's not romantic, oh, he's not going to be a good bachelor.",1
21,dialogue,,chris,colton,That he's not a man.,1
22,dialogue,,colton,chris,"Yeah. And that got thrown at me this year. That was the thing, for the first time in my life, what I feared people might say to me actually got said to me. I mean, it is one of those things, I'm not waiting for a ring. I'm not waiting for marriage. I'm waiting to be in love. I'm waiting for it to feel right, to take our relationship to the next step.",1
23,dialogue,,chris,colton,"You are about to have women from all over the country coming here just to meet you. Do you believe in love at first sight? Do you think you will see a girl tonight and go, ""that's the one?""",1
24,dialogue,,colton,chris,I thought about that.,1
25,dialogue,,chris,colton,It's cool to think about.,1
26,dialogue,,colton,chris,"It is very cool to think about. But then, part of me, I don't want that because I just want to treat every relationship differently.",1
27,testimony,,colton,aside,"Being back here at the mansion reminds me that this works. This is real. And I am so humble and I ao grateful for this opportunity, but I am also so hopeful. This is my time. I am diving headfirst, and I'm going. And I can't wait to get started.",1
28,testimony,,kirpa,aside,"I'm ready to find love, and I'm very excited to meet Colton.",1
29,testimony,,cassie,aside,"I am so excited that Colton is the bachelor. I think a ring would look pretty good on this finger, so...",1
30,sound,laughs,,,,1
31,dialogue,,heather,women,"Cheers to tonight, ladies!",1
32,exclamation,,women,self,Yay!,1
33,dialogue,,chris,colton,Colton.,1
34,dialogue,,colton,chris,"Chris, how's it going?",1
35,dialogue,,chris,colton,Welcome back!,1
36,dialogue,,colton,chris,Good to be back.,1
37,dialogue,,chris,colton,"Looking good, man.",1
38,dialogue,,colton,chris,"Thank you. You do, too.",1
39,dialogue,,jane,women,I was hoping for Colton.,1
40,dialogue,,???,women,"Yeah, he's the best.",1
41,testimony,,hannahb,aside,I don't think there could have been a more perfect bachelor for me. We would have really cute dimple babies.,1
42,dialogue,,colton,chris,"The athlete in me wants to have a gameplan, I want to have a strategy, but I just want be present. I want to be living in the moment, I want to have fun with this.",1
43,dialogue,,???,women,"You know he's going to be nervous, and you're a litte nervous.",1
44,dialogue,,???,women,Is he more nervous than?,1
45,dialogue,,???,women,"Yes, absolutely.",1
46,dialogue,,colton,chris,I remember my walkup still.,1
47,dialogue,,chris,colton,What did you say to Becca?,1
48,dialogue,,colton,chris,I still don't remember I said. I blacked out for that moment. I just remember how incredible that feeling was walking in there for the first time.,1
49,exclamation,,women,self,"My heart is pounding so! This is happening, oh, y God.",1
50,dialogue,,elyse,women,This is insane.,1
51,sound,contestants exclaim,,,,1
52,dialogue,,chris,colton,"All right, man. This is it.",1
53,dialogue,,colton,chris,Pregame jitters. I'm ready to go.,1
54,dialogue,,chris,colton,"I hope you are ready to go because the first limo is pulling up the driveway right now. Colton, good luck.",1
55,dialogue,,colton,chris,Thank you.,1
56,dialogue,,chris,colton,Let the journey begin.,1
57,exclamation,"laughter, contestants exclaim ""Colton""",women,self,"Oh, my God! he looks so cute! He's going to be blushing whole night. I could die right here, right now.",1
58,dialogue,,colton,demi,How are you?,1
59,dialogue,,demi,colton,"Hi. I'm good, how are you? I'm Demi.",1
60,dialogue,,colton,demi,Colton. Nice to meet you.,1
61,dialogue,,demi,colton,"Nice to meet you, too. You look so good.",1
62,dialogue,,colton,demi,You too. I love that color.,1
63,dialogue,,demi,colton,"Oh, thank you. Banana yellow. So I have not dated a virgin since I was 12. But I'm excited to give it another shot.",1
64,dialogue,,colton,demi,"All right, I love that. Yes.",1
65,dialogue,,demi,colton,"All righty, so I'll see you inside.",1
66,dialogue,,colton,self,"Oh, boy. I'm in trouble.",1
67,dialogue,,colton,tayshia,How are you?,1
68,dialogue,,tayshia,colton,"Hi. I'm good, how are you?",1
69,dialogue,,colton,tayshia,Good. What's your name?,1
70,dialogue,,tayshia,colton,My name is Tayshia. How nervous are you right now?,1
71,dialogue,,colton,tayshia,I'm a little nervous but mostly excited. How about you?,1
72,dialogue,,tayshia,colton,"I'm freaking out but it's good. So I don't know much about you, but the one thing I do know is that you have a really big heart and you care about kids, and doing your part in the word I think that's really special because I do, too.",1
73,dialogue,,colton,tayshia,"Thank you. I'll see you inside, all right?",1
74,dialogue,,tayshia,colton,"All right, sounds good.",1
75,dialogue,,colton,producer,She's gorgeous.,1
76,dialogue,,heather,colton,"Hi, Colton!",1
77,dialogue,,colton,heather,How are you?,1
78,dialogue,,heather,colton,"Oh, my goodness. How's it going? My name is Heather.",1
79,dialogue,,colton,heather,"Heather, nice to meet you.",1
80,dialogue,,heather,colton,"So great to meet you. I can't believe I'm standing in front of you right now. Like, ah! I just can't believe I'm here. I just wanted to let you know that you are incredibly rare, Colton, and I would not be here if it wasn't for you.",1
81,dialogue,,colton,heather,"Well, I'm glad you're here.",1
82,dialogue,,heather,colton,Thank you.,1
83,dialogue,,colton,heather,Yep.,1
84,dialogue,,nicole,colton,Hi.,1
85,dialogue,,colton,nicole,How are you doing?,1
86,dialogue,,nicole,colton,"I'm good, how are you?",1
87,dialogue,,colton,nicole,Good. What's your name?,1
88,dialogue,,nicole,colton,Nicole.,1
89,dialogue,,colton,nicole,"Nicole, Colton.",1
90,dialogue,,nicole,colton,"Colton. La mitad de mi corazon est en la habana. Y con mucho suerte, mi corn esta contigo.",1
91,dialogue,,colton,nicole,I like the way that sounds. What does it mean?,1
92,dialogue,,nicole,colton,"Half of my heart is in Havana, but hopefully the other part is with you.",1
93,dialogue,,colton,nicole,I like that. So you are from Havana?,1
94,dialogue,,nicole,colton,I'm actually from Miami but my family is from Havana.,1
95,dialogue,,colton,nicole,"That's awesome. I'll see you inside, all right? Thank you.",1
96,dialogue,,colton,caelynn,Look at this. How are you?,1
97,dialogue,,caelynn,colton,Hello! how are you?,1
98,dialogue,,colton,caelynn,Great.,1
99,dialogue,,caelynn,colton,I'm Caelynn.,1
100,dialogue,,colton,caelynn,"Caelynn. Colton, nice to meet you.",1
101,dialogue,,caelynn,colton,It's so nice to meet you.,1
102,dialogue,,colton,caelynn,I like what you got going.,1
103,dialogue,laughs,caelynn,colton,,1
104,dialogue,,colton,caelynn,Look at this.,1
105,dialogue,,caelynn,colton,So I am miss North Carolina.,1
106,dialogue,,colton,caelynn,That's awesome.,1
107,dialogue,,caelynn,colton,"But I'm here for an even better title, and that is..",1
108,dialogue,,colton,caelynn,Miss underwood. Look at that. I love that. That is awesome.,1
109,dialogue,,caelynn,colton,I'm really looking forward talking to you inside.,1
110,dialogue,,colton,caelynn,"You, too. I'll see you.",1
111,dialogue,,colton,producer,She's gorgeous.,1
112,dialogue,,sydney,colton,How are you?,1
113,dialogue,,colton,sydney,"Oh, good.",1
114,dialogue,,sydney,colton,"Good. Nice to meet you, I'm Sydney.",1
115,dialogue,,colton,sydney,I'm Colton. Nice to meet you.,1
116,dialogue,,sydney,colton,Nice to meet you. I had to choose between basically quitting my job and coming here to meet you and I think I made the right choice.,1
117,dialogue,,colton,sydney,I appreciate that. What did you do?,1
118,dialogue,,sydney,colton,I was ‐‐ I am a dancer.,1
119,dialogue,,colton,sydney,I am a terrible dancer.,1
120,dialogue,,sydney,colton,I will teach you.,1
121,dialogue,,colton,sydney,Yes! that's awesome. See you.,1
122,dialogue,,sydney,colton,See you.,1
123,testimony,,sydney,aside,"Colton's looking good. I do feel very assured. It also feels nice when you can tell someone else is nervous and you feel the same way, so you feel a little bit on the same page.",1
124,dialogue,,elyse,colton,Hi.,1
125,dialogue,,colton,elyse,How are you?,1
126,dialogue,,elyse,colton,Nervous.,1
127,sound,laughs,,,,1
128,dialogue,,colton,elyse,"That's all right. I am, too.",1
129,dialogue,,elyse,colton,I'm Elyse. Nice to meet you.,1
130,dialogue,,colton,elyse,"Colton, nice to meet you, Elyse.",1
131,dialogue,,elyse,colton,I'm so nervous.,1
132,dialogue,,colton,elyse,"Don't be nervous. We are going to have a great time. It all starts tonight. I'll see you inside, all right?",1
133,dialogue,,elyse,colton,"Okay, thank you.",1
134,testimony,,elyse,aside,"I just walked up and I was like, crap, you are way ber looking in person, and I am not one that normally gets nervous around guys but I have absolutely no clue what I said.",1
135,dialogue,,colton,tahzjuan,What is your name?,1
136,dialogue,,tahzjuan,colton,Tahzjuan.,1
137,dialogue,,colton,tahzjuan,Tahzjuan.,1
138,dialogue,,tahzjuan,colton,Yes. So I know my name is really hard to pronounce.,1
139,dialogue,,colton,tahzjuan,Yes.,1
140,dialogue,,tahzjuan,colton,So I hope I am the one for you. What do you think?,1
141,dialogue,,colton,tahzjuan,I like it.,1
142,testimony,,tahzjuan,aside,"Colton is looking phenomenal. I am thinking, don't step on your dress and trip and fan your face. If you are going to fall at all, you fall for Colton.",1
143,dialogue,,colton,cassie,How are you doing?,1
144,dialogue,,cassie,colton,"Hi. I'm good, how are you?",1
145,dialogue,,colton,cassie,Good.,1
146,dialogue,,cassie,colton,I'm Cassie.,1
147,dialogue,,colton,cassie,Colton. Nice to meet you.,1
148,dialogue,,cassie,colton,"Nice to meet you, too.",1
149,dialogue,,colton,cassie,What do you got?,1
150,dialogue,,cassie,colton,I am so nervous right now.,1
151,dialogue,,colton,cassie,"It's okay, I am, too.",1
152,dialogue,,cassie,colton,"I have so many butterflies. No, I literally have butterflies.",1
153,sound,laughs,,,,1
154,dialogue,,colton,cassie,No more butterflies. Get them all out of there.,1
155,dialogue,laughs,cassie,colton,I guess that takes care of my butterflies. I feel like I still have a little bit of butterflies if that's okay.,1
156,dialogue,,colton,cassie,They'll go away. I love it.,1
157,testimony,,cassie,aside,"I could tell he was, like, a little nervous, too. And I'm sure he's just nervous about this whole night.",1
158,dialogue,,colton,producer,That was awesome.,1
159,dialogue,,demi,cassie,"Hey, girlie.",1
160,dialogue,,???,cassie,How was it?,1
161,sound,laughter,,,,1
162,testimony,,cassie,aside,"I had a box of fake butterflies but my feelings are real, and if he felt the same way that I feel about everything, then I think we are off to a really good start.",1
163,dialogue,,tayshia,women,He was so nervous.,1
164,dialogue,,caelynn,women,I know he was.,1
165,dialogue,,cassie,women,So cute.,1
166,dialogue,laughs,caelynn,women,"I was looking in his eyes and I was, like, wow. you are good looking.",1
167,testimony,,caelynn,aside,You just talk to him and you are just sucked into his eyes and he is so calming.,1
168,dialogue,,colton,kirpa,What is your name?,1
169,testimony,,kirpa,aside,Kirpa.,1
170,dialogue,,colton,kirpa,You look beautiful.,1
171,dialogue,,kirpa,colton,"Thank you, thank you. I'm just excited to be here I'm really glad that it's you.",1
172,dialogue,,colton,kirpa,Thank you. It's going to be so much fun.,1
173,dialogue,,kirpa,colton,"I think so, too.",1
174,dialogue,,colton,kirpa,I'll see you inside.,1
175,testimony,,kirpa,aside,"Colton has this, like, soothing presence about him. It is like, okay, everything's going to be okay.",1
176,dialogue,,demi,women,"He is such a gentle, genuine person. So sweet.",1
177,dialogue,,cassie,women,Yes.,1
178,testimony,,demi,aside,"And he's just a big, huge teddy bear who makes me fel like a little tiny baby and I loved it.",1
179,dialogue,,demi,women,First one up and I had to bring up the virgin thing.,1
180,sound,laughter,,,,1
181,dialogue,,demi,women,"He's like, damn it. Well, someone had to do it.",1
182,dialogue,,caitlin,colton,My name is Caitlin.,1
183,dialogue,,colton,caitlin,"Caitlin. Colton, nice to meet you.",1
184,dialogue,,caitlin,colton,Nice to meet you. This is for you.,1
185,dialogue,,colton,caitlin,"Oh, thank you.",1
186,dialogue,laughs,caitlin,colton,"Now that I've popped your cherry, we don't need to talk about virginity anymore.",1
187,dialogue,laughs,colton,caitlin,"oh, boy! yep, no more, huh? I love it.",1
188,dialogue,,caitlin,colton,See you soon.,1
189,dialogue,,colton,caitlin,"Yep, see you soon.",1
190,dialogue,,colton,producer,"I thought that was an apple. Oh, boy.",1
191,dialogue,,demi,caitlin,"Hi! what's up, girl? What's your name?",1
192,dialogue,,caitlin,women,"Hey, I'm Caitlin.",1
193,dialogue,,women,caitlin,Hi.,1
194,dialogue,,caitlin,women,"He is so friggin' cute. Oh, my God.",1
195,dialogue,,demi,caitlin,What did you do?,1
196,dialogue,,caitlin,women,I brought a balloon that was a cherry and I popped it.,1
197,exclamation,,women,self,"Oh, fun!",1
198,dialogue,,courtney,colton,Have you ever tasted a sweet Georgia peach?,1
199,dialogue,,colton,courtney,I haven't.,1
200,dialogue,,courtney,colton,I have one for you. Do you want to try it?,1
201,dialogue,,colton,courtney,"Yeah, let's try it.",1
202,dialogue,,courtney,colton,"I'm from Atlanta, Georgia, and that makes me a sweet Georgia peach. Do you want more of that? Come find me inside, okay?",1
203,dialogue,,colton,courtney,I'll save it for later?,1
204,testimony,,nicole,aside,"I feel like I would never have brought up his virginity right away because it is to personal. Like, ""Hi, I'm Nicole, I hear you're a virgin."" That's cool. Yeah, I would never do that.",1
205,dialogue,,katie,colton,You are going to think of what the card is. Don't look.,1
206,dialogue,,colton,katie,Yes.,1
207,dialogue,,katie,colton,"I don't know what card you were thinking, but I think I just took your V-card.",1
208,sound,laughter,,,,1
209,testimony,,caitlin,aside,Already I feel like you can kind of tell who mighta little bit feistier than others. But I don't know what Colton's type is. Maybe he likes a girl who's little bit slower.,1
210,dialogue,,colton,alexd,It's a sloth.,1
