line,type,context,talking,talking_to,words,episode
521,dialogue,,erika,colton,"But, like, I am McNutt. Yeah, Erika.",1
522,dialogue,,colton,erika,Erika.,1
523,dialogue,,erika,colton,"Erika McNutt, yeah. See, the nuts work. So I'm just going to straight up ask this.",1
524,dialogue,,colton,erika,Yes.,1
525,dialogue,,erika,colton,Everyone knows you're a virgin. So I want to know why.,1
526,dialogue,,colton,erika,"For me, growing up, it s sort of a conscious decision at first. And then I started really diving deep into my professional career, and my personal life took a backseat.",1
527,dialogue,,erika,colton,Okay.,1
528,dialogue,,colton,erika,"And now that it's happened, I'm not just going to randomly lose it on a one night sta. It's not like I'm waiting for marriage, I'm waiting for the right person. I'm waiting for the right moment.",1
529,dialogue,,erika,colton,"Okay, okay.",1
530,dialogue,,colton,erika,Which is very important to me. And I hold a lot of value a lot of stock into it.,1
531,dialogue,,erika,colton,It's special. You should keep it special.,1
532,dialogue,,colton,erika,For sure.,1
533,dialogue,,erika,colton,You know?,1
534,dialogue,,colton,erika,For sure.,1
535,testimony,,colton,aside,My first night as the bachelor is so surreal.,1
536,dialogue,,kirpa,colton,"Your speech earlier was really, like, I think it just calmed everyone down. Like ‐‐",1
537,dialogue,,colton,kirpa,I wish it would've calmed me down a little bit. I was a little nervous.,1
538,testimony,,colton,aside,There are 30 women here and they are all absolutely gorgeous. I am bouncing from conversation to conversation and trying to keep up with them.,1
539,dialogue,,colton,laura,"Laura, right?",1
540,dialogue,,laura,colton,Yeah.,1
541,dialogue,,colton,laura,Laura?,1
542,dialogue,,laura,colton,Yeah.,1
543,dialogue,,colton,laura,I'm working on it.,1
544,dialogue,,laura,colton,I can't even imagine how you are doing it.,1
545,dialogue,,colton,laura,I'm trying. I'm trying my hardest.,1
546,testimony,,colton,aside,I've never been in a situation like this before.,1
547,dialogue,,hannahg,colton,How was your night goin?,1
548,dialogue,,colton,hannahg,Good. It's ‐‐ little bit nervous.,1
549,sound,laughter,,,,1
550,testimony,,colton,aside,I'm dating six times the amount of women that I've dated in my whole entire life in one night. So I'm a little overwhelmey all of this.,1
551,dialogue,,hannahg,colton,"Okay, so I was wonderin. You used to do football and stuff.",1
552,dialogue,,colton,hannahg,Yes.,1
553,dialogue,,hannahg,colton,"Was it more nerve‐racking hearing that you were going to be the bachelor or, like, playing NFL football games?",1
554,dialogue,,colton,hannahg,"It was actually really similar. It's actually the pregame jitters, all the anticipation to, like, start it off.",1
555,dialogue,,hannahg,colton,"Yeah, I almost died getting out of the limo. I almost died.",1
556,dialogue,,colton,hannahg,"You didn't look nervous, though. You killed it. You really did.",1
557,dialogue,,hannahg,colton,"You had so many people. I was like, I'm not going to even be able to, like, stand out at all.",1
558,dialogue,,colton,hannahg,"No, but yours definitely stood out.",1
559,dialogue,,hannahg,colton,"Okay, okay. That was my biggest fear coming into this because I'm not usually somebody who is tht",1
560,dialogue,,colton,hannahg,"Well, you are doing a gd job. You really are.",1
561,dialogue,,hannahg,colton,"Okay, well, my heart is beating out of my chest.",1
562,dialogue,,colton,hannahg,"Here. Here's what me and my mom do. When we are nervous, we take three deep breaths. Are you ready? One, two, three. One.",1
563,dialogue,,hannahg,colton,"Okay, that was good.",1
564,dialogue,,colton,hannahg,Two.,1
565,dialogue,,hannahg,colton,Okay.,1
566,dialogue,,colton,hannahg,Three.,1
567,dialogue,,hannahg,colton,Okay.,1
568,dialogue,,colton,hannahg,Is your heart beating a little slower?,1
569,dialogue,,hannahg,colton,"Actually, yes. I swear, it actually is. You are so cute. You are so cute.",1
570,testimony,,hannahg,aside,"Before I talked to Colton I was really nervous, and I d tell he was, too. But he just made me feel so comfortable.",1
571,dialogue,,colton,hannahg,Awesome chatting with you.,1
572,testimony,,hannahg,aside,Colton is definitely somebody I could fall for. So I'm excited.,1
573,dialogue,,jane,women,Has Colton kissed anyone tonight?,1
574,dialogue,,angelique,women,"I mean, I'm sure every girl here wants to.",1
575,dialogue,,???,women,I guess it would depend on that person's conversation.,1
576,dialogue,,???,women,And how he's feeling.,1
577,dialogue,,colton,caelynn,It's been good. How's yours?,1
578,dialogue,,caelynn,colton,Super awesome.,1
579,dialogue,,colton,caelynn,"So you said Miss Carolina, right?",1
580,dialogue,,caelynn,colton,North Carolina. Yeah.,1
581,dialogue,,colton,caelynn,Is that where you consider home?,1
582,dialogue,,caelynn,colton,I'm from Virginia originally but I moved to North Carolina about a year ago. I love North Carolina. But I love to travel more than anything.,1
583,dialogue,,colton,caelynn,So where's your favorite place you've been?,1
584,dialogue,,caelynn,colton,"I love Phuket, Thailand. I got dumped in Thailand, though. So, bittersweet.",1
585,dialogue,,colton,caelynn,I got dumped before Thailand so we have something sort of in common.,1
586,dialogue,laughs,caelynn,colton,That's great. I love to travel. I'm at this point in my life where I am young and my goal is to eventually get married and so that's why I'm here.,1
587,dialogue,,colton,caelynn,How old are you?,1
588,dialogue,,caelynn,colton,I'm 23.,1
589,dialogue,,colton,caelynn,23.,1
590,dialogue,,caelynn,colton,"Yeah, I know that is young but I have gone through so much that it's aged me, so I'm more than ready for marriage.",1
591,dialogue,,colton,caelynn,"My parents had me when they were 24. That's how I am, too. Everyone is like, you are so young at 26, I am like ‐‐",1
592,dialogue,,caelynn,colton,People are critical.,1
593,dialogue,,colton,caelynn,"My mom had me when she was 24, and I am sort of the same way, my life experience has made me more of a man than most 30‐year‐olds.",1
594,dialogue,,caelynn,colton,"That's exactly how I feel. Yes, absolutely.",1
595,dialogue,,colton,caelynn,We can relate on that.,1
596,dialogue,,caelynn,colton,Yeah.,1
597,dialogue,,jane,women,"There is no way this night is going to end and, like, no one has kissed Colton.",1
598,dialogue,,erin,women,I think that he needs to make that move because he's slower.,1
599,dialogue,,jane,women,"Can you imagine if, like he made that move? That would be be pretty crazy.",1
600,dialogue,,erin,women,"Yeah, that's big.",1
601,dialogue,,colton,caelynn,You have beautiful eyes!,1
602,dialogue,,caelynn,colton,"So do you! I am like, wow. I'm just like drawn.",1
603,testimony,laughs,caelynn,aside,"He kisses very well for a virgin. I was shocked at how he just took the initiative and like drew in and I was like, wow. He's ‐‐ yeah. I was about it.",1
604,dialogue,,caelynn,colton,It was good talking to you.,1
605,dialogue,,colton,caelynn,"It was very nice talking with you, too.",1
606,testimony,,caelynn,aside,So I hope I made a good impression on him.,1
607,sound,contestants exclaim,,,,1
608,dialogue,,chris,women,"Good evening, hi. Hi, everybody.",1
609,dialogue,,women,chris,"Hey, Chris.",1
610,sound,contestants exclaim,,,,1
611,dialogue,,chris,women,I will leave that there. Everybody having a good night? Hopefully that continues. See you guys in a bit.,1
612,dialogue,,women,chris,Bye!,1
613,dialogue,,demi,women,Whoever gets that is gonna feel really solid.,1
614,testimony,,courtney,aside,"The first impression rose goes down on the table, and I can just feel the mood in the room getting more and more intense.",1
615,dialogue,,???,women,"Well, that put some pressure on us for sure.",1
616,dialogue,,???,women,It's about to get real serious.,1
617,dialogue,,angelique,women,"Brace yourself, ladies.",1
618,testimony,,tahzjuan,aside,"Everyone wants to get the first impression rose. So claws are about to come out, 100%.",1
619,dialogue,,tracy,women,I want that rose.,1
620,dialogue,,???,women,"Who doesn't, though?",1
621,testimony,gasp,angelique,aside,"First impression rose came out and everybody was like . We all feel stressed out, a little tense, especially the ones who haven't had any time with him yet.",1
622,dialogue,,hannahb,women,"I just need to talk to him. Like, all right, where you at?",1
623,dialogue,,???,women,Where is he? Do you hear music?,1
624,dialogue,,sydney,courtney,"So I did tell you that a dancer and that I did leave my job, but I found that I don't necessarily have to give up dancing. I can still have both. So I can teach you a little something. Yeah, this is my string quartet.",1
625,dialogue,,colton,sydney,"I love learning. You know I'm a terrible dancer, right?",1
626,dialogue,,sydney,colton,"Right. I saw a little bit of that don't worry, that is what I'm here for. Then you are going to step. So technically, you would, yeah. So follow me. Step out, and then back and then repeat.",1
627,dialogue,,colton,sydney,So it's in a square?,1
628,dialogue,,sydney,colton,"In a square, right.",1
629,dialogue,,???,women,"Oh, my gosh. What? Oh, my God, they are dancing.",1
630,dialogue,,sydney,colton,And then the dramatic.,1
631,dialogue,,colton,sydney,The dramatic dip.,1
632,dialogue,,sydney,colton,That feels so good.,1
633,dialogue,,???,women,"Oh, my God. He's falling in love right now.",1
634,exclamation,,sydney,self,Oh!,1
635,testimony,,heather,aside,It's not fun to see Colton connecting and dancing with another girl. It's no fun at all,1
636,dialogue,,colton,sydney,"I feel like I need to spin. I feel like I'm a professional dancer now, sort of.",1
637,dialogue,,sydney,colton,I'm looking for a lifelong dance partner.,1
638,dialogue,,colton,sydney,"Oh, nice.",1
639,dialogue,,sydney,colton,I feel like you fit that role.,1
640,dialogue,,colton,sydney,That's a good thing.,1
641,testimony,,cassie,aside,"Watching them made me very jealous. Tonight has already started being a big show‐off fest. Like, how do you make a really good impression, how do you get his attention?",1
642,dialogue,,elyse,colton,"I'm from Alaska, and you can't go to Alaska without knowing how to fish. So we are fishing.",1
643,dialogue,,colton,elyse,"Here we go. Oh, she's giving me a good fight. She's giving me a really good fight. Get it, get it while it's there.",1
644,dialogue,,elyse,colton,We caught it. Now the pool is going to salmon forever.,1
645,sound,laughter,,,,1
646,testimony,,catherine,aside,I'm watching all these girls trying to get his attention. Everyone's bringing out their show tonight.,1
647,dialogue,,tayshia,colton,Welcome to Tayshia land.,1
648,dialogue,,colton,tayshia,Tayshia land.,1
649,sound,laughter,,,,1
650,dialogue,,tayshia,colton,We have a couple of games set up.,1
651,dialogue,,colton,tayshia,That is awesome.,1
652,dialogue,,tayshia,colton,Let's do the pony ride.,1
653,dialogue,,colton,tayshia,Where's the pony?,1
654,dialogue,,tayshia,colton,Right here.,1
655,dialogue,,colton,tayshia,"Oh, boy.",1
656,testimony,,catherine,aside,"Things are crazy around. These girls are getting are ridiculous. I'm like, girls, calm down, like, take a chill pill.",1
657,dialogue,,caitlin,women,"Oh, my God, she's in the damn tree.",1
658,dialogue,,???,women,The sloth is in the tree?,1
659,dialogue,,erika,women,"She is not in the tree. No. Oh, my God.",1
660,sound,laughs,,,,1
661,dialogue,,hannahb,women,The sloth is kind of weird but I bet she's nice.,1
662,testimony,,tracy,aside,"I just want to know what she looks like. Like, who is this person?",1
663,dialogue,,alexd,colton,Hi.,1
664,dialogue,,colton,alexd,"Oh, boy.",1
665,testimony,,alexd,aside,I... Am... So... Excited... To talk... With... Colton.,1
666,dialogue,,alexd,colton,Can you hold... This?,1
667,dialogue,,colton,alexd,Yes.,1
668,dialogue,,alexd,colton,Okay...,1
669,dialogue,,???,women,"I hope she's, like, stunning!",1
670,dialogue,,demi,women,I want her to rip that sloth head off and be a fierce ass bitch.,1
671,dialogue,,???,women,"Oh, he's taking off the thing. Okay!",1
672,dialogue,,alexd,colton,"It's me, hi.",1
673,sound,laughs,,,,1
674,dialogue,,colton,alexd,How are you? Nice to finally meet you.,1
675,dialogue,,alexd,colton,"Nice to meet you, dude. How are you doing?",1
676,dialogue,,colton,alexd,All right. I bet you were definitely warm in that.,1
677,dialogue,,alexd,colton,"It was hot, it was very hot. But she was cute, I miss her already.",1
678,dialogue,,colton,alexd,Yeah. Did she have a name?,1
679,dialogue,,alexd,colton,Her name was Suzette.,1
680,dialogue,,colton,alexd,Suzette? You stayed in character the whole time and you committed to it.,1
681,dialogue,,alexd,colton,"I did, right?",1
682,dialogue,,colton,alexd,I can respect that.,1
683,dialogue,,alexd,colton,"Thank you. Sincerely, thank you.",1
684,dialogue,,colton,alexd,You nailed it. So tell me about yourself.,1
685,dialogue,,alexd,colton,"So my name is Alex. I am from Cape Cod. So I have a mom, dad, they've been together forever, older brother, smartest, best guy in the entire world. I love my city, I love Boston love my family, I love my job I love it so much, I'm an account manager.",1
686,dialogue,,alexb,women,"She speaks very, very fast for a sloth.",1
687,dialogue,,???,women,For a sloth. She talks so fast.,1
688,dialogue,,alexd,colton,"I love animals, I know you love dogs. Colton, you know what, I love cats, too. I love all animals. All animals.",1
689,dialogue,,colton,alexd,Me too.,1
690,dialogue,,colton,alexd,Yeah? Really?,1
691,dialogue,,colton,alexd,"The sloth is, behind dogs, one of my favorite animals.",1
692,dialogue,,colton,alexd,Why?,1
693,dialogue,,colton,alexd,"Look, how can you not like a sloth?",1
694,dialogue,,onyeka,women,I think the first impression rose will go to the person that he hasn't been able to get out of his head. And the person he's been thinking about all night.,1
695,dialogue,,nina,women,The person he's most excited about.,1
696,dialogue,,onyeka,women,So honestly ‐‐,1
697,dialogue,,nina,women,It's a big deal.,1
698,dialogue,,onyeka,women,Yeah.,1
699,dialogue,,catherine,women,I'm going to exit on that note.,1
700,testimony,,catherine,aside,"I personally don't feel like there's competition. These girls, they are just, like, beautiful statues. There's not much substance to them. So I am confident I will make the best impression on him.",1
701,dialogue,,catherine,colton,Hi.,1
702,dialogue,,colton,catherine,How are you?,1
703,dialogue,,catherine,colton,I'm amazing.,1
704,dialogue,,colton,catherine,Chris is doing a good job of watching after your dog.,1
705,dialogue,laughs,catherine,colton,,1
706,dialogue,,chris,dog,"Come on, Lucy. Come on. Do your business. Come on.",1
707,dialogue,,catherine,colton,What do you think about Lucy?,1
708,dialogue,,colton,catherine,She really ‐‐ you could tell that she really loves you.,1
709,dialogue,,catherine,colton,"You know, I'm putting her in your hands, and I hope that you're worth it.",1
710,dialogue,,colton,catherine,"Well, you can always tell if a dog doesn't like somebody, that is a little bit of a red flag.",1
711,dialogue,,catherine,colton,"Yeah, you have to win us both over. It's not just her.",1
712,dialogue,,colton,catherine,It's a household of two.,1
713,dialogue,,catherine,colton,"Yeah, absolutely.",1
714,dialogue,,colton,catherine,Where are you from?,1
715,dialogue,,catherine,colton,"Fort Lauderdale. So we did the boats and the beaches and the wakeboarding, and fishing. I love a good adventure.",1
716,dialogue,,colton,catherine,I like that.,1
717,dialogue,,tracy,colton,Hi. Mind if I borrow you? Maybe arrest you?,1
718,sound,laughs,,,,1
719,dialogue,,colton,tracy,"Yeah, for sure.",1
720,dialogue,,catherine,colton,I'll come talk to you later.,1
721,dialogue,,colton,catherine,It was nice chatting wih you.,1
722,dialogue,,catherine,colton,"Yes, of course.",1
723,dialogue,,colton,catherine,See you later.,1
724,dialogue,,tracy,colton,All right.,1
725,dialogue,,colton,tracy,Hi.,1
726,dialogue,,tracy,colton,So nice to see you.,1
727,dialogue,,colton,tracy,Where are we going?,1
728,dialogue,,tracy,colton,Down here.,1
729,dialogue,,colton,tracy,All right.,1
730,dialogue,,catherine,self,That was so quick. What the hell?,1
731,testimony,,catherine,aside,My conversation with Colton was very short. We were interrupted.,1
732,dialogue,,colton,tracy,Look at these.,1
733,dialogue,,tracy,colton,"I thought we could drawn on them together and make little ""bachelor"" shoes.",1
734,testimony,,catherine,aside,"I've never had to fight for somebody's attention before, you know, I go after what I want, and I am drawn to Colton. I think this is our moment to connect and ideally fall in love, create this whole entire amazing lifestyle together and so we need to spend a little bit more than a couple minutes with each other.",1
735,dialogue,,catherine,tracy,"Excuse me, I'm so sorry to interrupt. We just only had a few minutes earlier and I just want to talk to you a little more.",1
736,dialogue,,tracy,catherine,Can we color for a few more minutes and then I'll pass him along to you?,1
737,dialogue,,catherine,tracy,I'm sorry. I just really think we need to finish our conversation.,1
738,dialogue,,tracy,catherine,Okay.,1
739,dialogue,,catherine,tracy,All right.,1
740,dialogue,,???,women,Is that a girl that already talked to him?,1
741,exclamation,,onyeka,self,"Oh, my God.",1
742,dialogue,,erin,women,Already?,1
743,dialogue,,onyeka,women,She literally just talked to him.,1
744,dialogue,,colton,catherine,Want to go back up there?,1
745,dialogue,,catherine,colton,Sure. I didn't mean to interrupt your coloring but I think our conversation might be a little more important.,1
746,dialogue,,onyeka,women,Seriously?,1
747,testimony,,onyeka,aside,"I think Catherine is being very disrespectful to everyone in the house right now because everyone is trying to have their first impression with him, a lot of people haven't talked to him at all, and so I feel like Catherine deserves a taste of her own medicine.",1
748,dialogue,,catherine,colton,We got interrupted way too soon and I just wanted to hear more about you.,1
749,dialogue,whistle blowing,onyeka,colton,"Colton, I heard you were drowning in some bitches, I came to save you!",1
750,exclamation,,???,self,"Oh, my gosh.",1
751,dialogue,,???,women,Did she say bitches?,1
752,dialogue,,tracy,women,I think she said it.,1
753,dialogue,,catherine,colton,Hopefully we'll have some more time later. It's been very short. But enjoy your time together.,1
754,dialogue,,onyeka,colton,Thank you. How are you doing?,1
755,dialogue,,colton,onyeka,"Good, how are you?",1
756,dialogue,,onyeka,colton,How do you like my snorkel?,1
757,dialogue,,colton,onyeka,I love it.,1
758,testimony,,catherine,aside,"Ideally, in the ocean, looking at a beautiful reef is probably why I would be wearing a snorkel. Other than that, I probably wouldn't put a snorkel on. I think it was just a litte tacky.",1
759,dialogue,,colton,onyeka,I really appreciate ‐‐,1
760,dialogue,,onyeka,colton,So great talking to you.,1
761,dialogue,,colton,onyeka,You coming in with a snorkel.,1
762,dialogue,,onyeka,colton,"Yes, and also, I am CPR certified. If you want to practice mouth‐to‐mouth resuscitation, you know where to find me.",1
763,dialogue,,colton,onyeka,All right. Sounds good.,1
764,dialogue,,onyeka,colton,"All right, sounds good.",1
765,testimony,,catherine,aside,"I don't know if she was trying to intimidate me or if she was trying to get me off my game, but I'm not going to let it faze me. I'm here to get to know Colton. He's my priority and if I want to talk to him again, I'm going to talk to him again.",1
766,dialogue,,catherine,caitlin,Excuse me.,1
767,dialogue,,colton,catherine,Hi.,1
768,dialogue,,catherine,colton,"Hi, again.",1
769,dialogue,,colton,catherine,How are you?,1
770,dialogue,,catherine,caitlin,Do you mind if I interrupt?,1
771,dialogue,,caitlin,colton,"Um, sure.",1
772,dialogue,,colton,caitlin,All right. Give you a hug.,1
773,dialogue,,caitlin,colton,Okay.,1
774,dialogue,,colton,caitlin,"I'll see you soon, all right?",1
775,dialogue,,caitlin,colton,Yes.,1
776,dialogue,,colton,catherine,"Third time's a charm, huh?",1
777,dialogue,,catherine,colton,I think so. Good to see you again.,1
778,dialogue,,colton,catherine,Are we going to go to or spot up here?,1
779,dialogue,,catherine,colton,"We can chill here, it's fine.",1
780,dialogue,,demi,caitlin,Have you had a good night? Did you have a good talk with him?,1
781,dialogue,,caitlin,women,"Yeah, yeah. It was nice. And then Catherine cut in.",1
782,dialogue,,onyeka,women,She stole him again?,1
783,dialogue,,caitlin,women,"He was like, ""third time's a charm.""",1
784,dialogue,,onyeka,women,He said that?,1
785,testimony,,caelynn,aside,"I think it was frustrating for all of us to hear, we were all, like, ""wait, what?""",1
786,dialogue,,onyeka,women,"I would not feel comfortable stealing him for a second time right now, because I have respect for the other girl that haven't talked to him yet.",1
787,dialogue,,courtney,women,It disadvantages everybody else that is here.,1
788,testimony,,heather,aside,No one right now is happy with Catherine's aggressiveness because a lot of girls still haven't gotten their time with him yet.,1
789,dialogue,,catherine,women,Hi.,1
790,testimony,,onyeka,aside,"This is complete *bleep*, what Catherine is doing. Like, honestly, like, girl, stop with this *bleep*.",1
791,dialogue,,onyeka,catherine,"Catherine, can I steal you for a second real quick?",1
792,dialogue,,catherine,onyeka,Sure.,1
793,dialogue,,nicole,women,"Oh, my God, the drama already.",1
794,dialogue,,onyeka,catherine,"Just want to, like, get some fresh air and chat a little bit.",1
795,dialogue,,???,women,"Wait, those two are talking?",1
796,dialogue,,???,women,Do you think that they'e having a confrontation?,1
797,dialogue,,???,women,I absolutely do.,1
798,dialogue,,alexb,women,*bleep*. It's getting real.,1
799,dialogue,,onyeka,catherine,How do you feel like your time with Colton was?,1
800,dialogue,,catherine,onyeka,Too short.,1
801,dialogue,,onyeka,catherine,"Yeah. So I'm kind of catching wind from other girls, and just because you have stolen Colton three times already, it's definitely rubbing people people wrong way. I think it is almost a little desperate and I don't know if you haven't had, like, good conversations with him, but I think it's important that you let other girls take time with him.",1
802,dialogue,,catherine,onyeka,"I'm sorry if I stepped on their toes and I'm sorry if I insulted anyone or was too aggressive or I looked ""desperate,"" which is hilarious, by the way. But you know what I mean? He's my priority.",1
803,dialogue,,onyeka,catherine,"Colton is everyone's priority. I'm just saying, like, respect everyone.",1
804,dialogue,,catherine,onyeka,"I don't think that I hae disrespected anybody. My time with him was very short. I spoke with him probably 30 seconds the first time, maybe, like ‐‐",1
805,dialogue,,onyeka,catherine,It wasn't 30 seconds.,1
806,dialogue,,catherine,onyeka,"I know you think it was longer but it really wasn't longer than, like, 30 seconds or a minute.",1
807,dialogue,,onyeka,catherine,Okay.,1
808,sound,laughs,,,,1
809,dialogue,,catherine,onyeka,Don't laugh like that.,1
